owner,repo_name,full_name,description,language,stars,forks,stars_period,contributors_count,url,search_language,timeframe,scraped_at
sansan0,TrendRadar,sansan0/TrendRadar,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点,Python,36604,19908,1067,0,https://github.com/sansan0/TrendRadar,overall,daily,2025-12-03 17:34:14.528785
google,adk-go,google/adk-go,"An open-source, code-first Go toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",Go,5920,396,118,0,https://github.com/google/adk-go,overall,daily,2025-12-03 17:34:14.529175
TapXWorld,ChinaTextbook,TapXWorld/ChinaTextbook,所有小初高、大学PDF教材。,Roff,60750,13494,226,0,https://github.com/TapXWorld/ChinaTextbook,overall,daily,2025-12-03 17:34:14.529535
yeongpin,cursor-free-vip,yeongpin/cursor-free-vip,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,Python,44916,5365,250,0,https://github.com/yeongpin/cursor-free-vip,overall,daily,2025-12-03 17:34:14.529894
nvm-sh,nvm,nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,Shell,90205,9641,67,0,https://github.com/nvm-sh/nvm,overall,daily,2025-12-03 17:34:14.530228
traefik,traefik,traefik/traefik,The Cloud Native Application Proxy,Go,60083,5692,109,0,https://github.com/traefik/traefik,overall,daily,2025-12-03 17:34:14.530633
HKUDS,LightRAG,HKUDS/LightRAG,"[EMNLP2025] ""LightRAG: Simple and Fast Retrieval-Augmented Generation""",Python,25252,3627,141,0,https://github.com/HKUDS/LightRAG,overall,daily,2025-12-03 17:34:14.530976
bobeff,open-source-games,bobeff/open-source-games,A list of open source games.,Unknown,10009,749,282,0,https://github.com/bobeff/open-source-games,overall,daily,2025-12-03 17:34:14.531294
volcengine,verl,volcengine/verl,verl: Volcano Engine Reinforcement Learning for LLMs,Python,17145,2731,66,0,https://github.com/volcengine/verl,overall,daily,2025-12-03 17:34:14.531630
MemoriLabs,Memori,MemoriLabs/Memori,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems",Python,9043,650,231,0,https://github.com/MemoriLabs/Memori,overall,daily,2025-12-03 17:34:14.531963
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,Curated coding interview preparation materials for busy software engineers,TypeScript,135805,16291,125,0,https://github.com/yangshun/tech-interview-handbook,overall,daily,2025-12-03 17:34:14.532341
microsoft,call-center-ai,microsoft/call-center-ai,"Send a phone call from AI agent, in an API call. Or, directly call the bot from the configured phone number!",Python,5789,645,129,0,https://github.com/microsoft/call-center-ai,overall,daily,2025-12-03 17:34:14.532690
MustardChef,WSABuilds,MustardChef/WSABuilds,Run Windows Subsystem For Android on your Windows 10 and Windows 11 PC using prebuilt binaries with Google Play Store (MindTheGapps) and/or Magisk or KernelSU (root solutions) built in.,Python,14482,2064,65,0,https://github.com/MustardChef/WSABuilds,overall,daily,2025-12-03 17:34:14.533019
playcanvas,engine,playcanvas/engine,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF",JavaScript,13970,1666,107,0,https://github.com/playcanvas/engine,overall,daily,2025-12-03 17:34:14.533367
iptv-org,iptv,iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,104408,4661,196,0,https://github.com/iptv-org/iptv,overall,daily,2025-12-03 17:34:14.533711
Zie619,n8n-workflows,Zie619/n8n-workflows,all of the workflows of n8n i could find (also from the site itself),Python,46505,5145,222,0,https://github.com/Zie619/n8n-workflows,overall,daily,2025-12-03 17:34:14.534493
milvus-io,milvus,milvus-io/milvus,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",Go,41312,3679,112,0,https://github.com/milvus-io/milvus,overall,daily,2025-12-03 17:34:14.534862
wolfpld,tracy,wolfpld/tracy,Frame profiler,C++,14638,954,62,0,https://github.com/wolfpld/tracy,overall,daily,2025-12-03 17:34:14.535244
usestrix,strix,usestrix/strix,Open-source AI agents for penetration testing,Python,16398,1629,2288,0,https://github.com/usestrix/strix,overall,weekly,2025-12-03 17:34:18.385564
666ghj,BettaFish,666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,Python,30638,5877,1082,0,https://github.com/666ghj/BettaFish,overall,weekly,2025-12-03 17:34:18.385929
Skyvern-AI,skyvern,Skyvern-AI/skyvern,Automate browser based workflows with AI,Python,19365,1671,510,0,https://github.com/Skyvern-AI/skyvern,overall,weekly,2025-12-03 17:34:18.386259
nocobase,nocobase,nocobase/nocobase,NocoBase is the most extensible AI-powered no-code/low-code platform for building business applications and enterprise solutions.,TypeScript,20492,2282,336,0,https://github.com/nocobase/nocobase,overall,weekly,2025-12-03 17:34:18.386588
sansan0,TrendRadar,sansan0/TrendRadar,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点,Python,36604,19908,7513,0,https://github.com/sansan0/TrendRadar,overall,weekly,2025-12-03 17:34:18.386918
opencloud-eu,opencloud,opencloud-eu/opencloud,🌤️This is the main repository of the OpenCloud server. It contains the golang codebase for the backend services.,Go,4272,149,173,0,https://github.com/opencloud-eu/opencloud,overall,weekly,2025-12-03 17:34:18.387251
lima-vm,lima,lima-vm/lima,"Linux virtual machines, with a focus on running containers",Go,19561,779,196,0,https://github.com/lima-vm/lima,overall,weekly,2025-12-03 17:34:18.387586
mudler,LocalAI,mudler/LocalAI,"🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, MCP, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference",Go,39673,3152,421,0,https://github.com/mudler/LocalAI,overall,weekly,2025-12-03 17:34:18.388023
ayn2op,discordo,ayn2op/discordo,"A lightweight, secure, and feature-rich Discord terminal (TUI) client.",Go,4637,150,438,0,https://github.com/ayn2op/discordo,overall,weekly,2025-12-03 17:34:18.388353
NginxProxyManager,nginx-proxy-manager,NginxProxyManager/nginx-proxy-manager,"Docker container for managing Nginx proxy hosts with a simple, powerful interface",TypeScript,30201,3432,260,0,https://github.com/NginxProxyManager/nginx-proxy-manager,overall,weekly,2025-12-03 17:34:18.388696
containerd,containerd,containerd/containerd,An open and reliable container runtime,Go,19924,3715,111,0,https://github.com/containerd/containerd,overall,weekly,2025-12-03 17:34:18.389031
sst,opentui,sst/opentui,OpenTUI is a library for building terminal user interfaces (TUIs),TypeScript,5808,221,249,0,https://github.com/sst/opentui,overall,weekly,2025-12-03 17:34:18.389408
prometheus,alertmanager,prometheus/alertmanager,Prometheus Alertmanager,Go,8233,2368,63,0,https://github.com/prometheus/alertmanager,overall,weekly,2025-12-03 17:34:18.389756
kvcache-ai,ktransformers,kvcache-ai/ktransformers,A Flexible Framework for Experiencing Heterogeneous LLM Inference/Fine-tune Optimizations,Python,16103,1173,155,0,https://github.com/kvcache-ai/ktransformers,overall,weekly,2025-12-03 17:34:18.390085
