language,repo_count,avg_stars,total_stars,avg_forks,total_forks,trending_stars
TypeScript,67,39896.0,2673065,5435.0,364118,57230
C,117,15863.0,1855958,2956.0,345892,8093
Python,81,20867.0,1690243,3730.0,302170,175536
JavaScript,50,32358.0,1617917,4272.0,213601,21591
C++,66,23988.0,1583220,4017.0,265140,15638
Rust,66,22115.0,1459587,1623.0,107119,22345
Go,56,23322.0,1306038,2660.0,148987,28129
Jupyter Notebook,53,24225.0,1283921,7780.0,412349,14230
Java,62,20078.0,1244836,5350.0,331678,11042
Ruby,64,17949.0,1148722,4063.0,260054,4171
Dart,65,15833.0,1029115,2208.0,143531,12847
Shell,58,17213.0,998381,2361.0,136936,13267
Kotlin,61,16019.0,977172,2249.0,137179,27795
PHP,61,14556.0,887895,3240.0,197661,6014
Swift,66,11874.0,783694,1766.0,116588,2982
CSS,44,15739.0,692532,3551.0,156228,2303
HTML,53,12660.0,671000,3142.0,166521,9857
Vue,52,12685.0,659602,2787.0,144942,7868
Clojure,21,30832.0,647462,2192.0,46022,5312
Lua,61,8959.0,546521,2238.0,136545,4512
Scala,62,8491.0,526417,2702.0,167552,1199
Haskell,27,15086.0,407314,935.0,25253,2198
Elixir,50,7431.0,371533,860.0,42978,1665
Objective-C,60,5189.0,311338,830.0,49790,547
Svelte,2,116879.0,233758,16418.0,32836,740
Perl,61,3719.0,226875,430.0,26253,784
Solidity,47,3179.0,149433,1223.0,57487,732
R,52,2264.0,117715,6465.0,336173,317
Roff,1,60750.0,60750,13494.0,13494,226
Unknown,1,10009.0,10009,749.0,749,282
